"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-02-05,0,61.4285714285714,0,0,0,0,0,0,0.142857142857143,0,0,0,0
2020-02-06,0,66,0,0,0,0,0,0,0.142857142857143,0,0,0,0
2020-02-07,0,72.1428571428571,0,0,0,0,0,0,0.142857142857143,0,0,0,0
2020-02-08,0,78,0,0,0,0,0,0,0.142857142857143,0,0,0,0
2020-02-09,0,77.7142857142857,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,83.8571428571429,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,88.7142857142857,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,79.1428571428571,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,105.285714285714,0,0,0,0,0,0,0,0,0,0.142857142857143,0
2020-02-14,0,114.857142857143,0,0,0,0,0,0,0,0,0,0.142857142857143,0
2020-02-15,0,122.714285714286,0,0,0,0,0,0,0,0,0,0.285714285714286,0
2020-02-16,0,123.285714285714,0,0,0,0,0,0,0,0,0,0.285714285714286,0
2020-02-17,0,122,0,0,0,0,0,0,0,0,0,0.285714285714286,0
2020-02-18,0,127.571428571429,0,0,0,0,0,0,0,0,0,0.285714285714286,0
2020-02-19,0,143,0,0,0,0,0,0,0,0,0,0.285714285714286,0
2020-02-20,0,124.428571428571,0,0,0,0,0,0.285714285714286,0,0.285714285714286,0,0.142857142857143,0
2020-02-21,0,102.714285714286,0,0,0,0,0,0.285714285714286,0,0.571428571428571,0,0.142857142857143,0
2020-02-22,0,111.857142857143,0,0,0,0,0,0.285714285714286,0,0.714285714285714,0,0,0
2020-02-23,0,97.2857142857143,0,0,0,0,0,0.428571428571429,0,1.14285714285714,0,0.285714285714286,0
2020-02-24,0,105.428571428571,0,0,0,0,0,0.428571428571429,0,1.14285714285714,0,0.285714285714286,0
2020-02-25,0,95.8571428571429,0,0,0,0,0,0.571428571428571,0,2.14285714285714,0,0.857142857142857,0
2020-02-26,0,87.7142857142857,0,0,0,0,0,0.571428571428571,0,2.71428571428571,0,1.57142857142857,0
2020-02-27,0,74.7142857142857,0,0,0,0,0,0.285714285714286,0,3.42857142857143,0,1.85714285714286,0
2020-02-28,0,81,0,0,0,0,0,0.571428571428571,0,4.28571428571429,0,2.57142857142857,0
2020-02-29,0,59,0,0,0,0,0,0.571428571428571,0,5.42857142857143,0,3.28571428571429,0
2020-03-01,0,64,0,0,0,0,0.142857142857143,0.428571428571429,0.142857142857143,5,0,4.14285714285714,0
2020-03-02,0,48.4285714285714,0,0,0,0,0.142857142857143,0.428571428571429,0.142857142857143,8.28571428571429,0,5,0
2020-03-03,0,43.7142857142857,0,0,0,0,0.142857142857143,0.285714285714286,0.142857142857143,8.85714285714286,0,7,0
2020-03-04,0,41.4285714285714,0,0,0,0.714285714285714,0.285714285714286,0.285714285714286,0.142857142857143,10.4285714285714,0,10.4285714285714,0.285714285714286
2020-03-05,0,41.8571428571429,0,0,0,1.28571428571429,0.285714285714286,0.285714285714286,0.142857142857143,9.42857142857143,0,14.4285714285714,0.285714285714286
2020-03-06,0,40.7142857142857,0,0,0,1.28571428571429,0.285714285714286,0,0.142857142857143,12.8571428571429,0,20.2857142857143,0.571428571428571
2020-03-07,0,37.5714285714286,0,0.142857142857143,0,1.57142857142857,0.285714285714286,0,0.142857142857143,14.5714285714286,0,27.2857142857143,0.571428571428571
2020-03-08,0,37.1428571428571,0,0.142857142857143,0.142857142857143,1.57142857142857,0.285714285714286,0.142857142857143,0,21.5714285714286,0,32,0.857142857142857
2020-03-09,0,34.5714285714286,0,0.142857142857143,0.142857142857143,2.71428571428571,0.285714285714286,0.142857142857143,0,18.2857142857143,0,52.1428571428571,0.857142857142857
2020-03-10,0,31.7142857142857,0,0.142857142857143,0.285714285714286,3.57142857142857,0.285714285714286,0.142857142857143,0,30.5714285714286,0,68,0.857142857142857
2020-03-11,0,30.7142857142857,0,0.285714285714286,0.285714285714286,3,0.142857142857143,0.142857142857143,0.142857142857143,37.4285714285714,0,91.4285714285714,0.714285714285714
2020-03-12,0,28.2857142857143,0.142857142857143,0.285714285714286,0.428571428571429,3,0.142857142857143,0.142857142857143,0.285714285714286,48.1428571428571,0,123.571428571429,1.14285714285714
2020-03-13,0,24.8571428571429,0.285714285714286,0.428571428571429,0.428571428571429,4,0.142857142857143,0.142857142857143,1.14285714285714,55.8571428571429,0,152.857142857143,0.857142857142857
2020-03-14,0,23.5714285714286,0.571428571428571,0.428571428571429,0.571428571428571,4.42857142857143,0.142857142857143,0.142857142857143,1.57142857142857,66.4285714285714,0,193.714285714286,1.14285714285714
2020-03-15,0,20.5714285714286,0.857142857142857,0.571428571428571,0.571428571428571,4.42857142857143,0,0,2,76,0,231.285714285714,0.857142857142857
2020-03-16,0,19.2857142857143,1,1,1,3.28571428571429,0,0,2.28571428571429,94.4285714285714,0,289.571428571429,1
2020-03-17,0,19.5714285714286,1.14285714285714,1.14285714285714,1.28571428571429,4.85714285714286,0.285714285714286,0,2.57142857142857,99.8571428571429,0,350.428571428571,1.28571428571429
2020-03-18,0,16.8571428571429,1.42857142857143,1.42857142857143,1.85714285714286,11.4285714285714,0.428571428571429,0,5.42857142857143,112,0.142857142857143,411.714285714286,1.57142857142857
2020-03-19,0,16.8571428571429,1.28571428571429,2.42857142857143,1.85714285714286,18.4285714285714,0.428571428571429,0,5.85714285714286,123,0.142857142857143,492.285714285714,1.57142857142857
2020-03-20,0,16.4285714285714,1.28571428571429,3,2.71428571428571,24.7142857142857,0.571428571428571,0,6.28571428571429,132.142857142857,0.285714285714286,594.571428571429,1.85714285714286
2020-03-21,0,16,1.71428571428571,4.85714285714286,3.42857142857143,24.5714285714286,0.571428571428571,0.142857142857143,7.28571428571429,136.428571428571,0.714285714285714,713.142857142857,3.28571428571429
2020-03-22,0,15.7142857142857,1.42857142857143,4.71428571428571,3.85714285714286,24.5714285714286,0.571428571428571,0.285714285714286,10,138.428571428571,0.714285714285714,889.714285714286,5.57142857142857
2020-03-23,0,15.2857142857143,2.42857142857143,5.14285714285714,4.42857142857143,54.1428571428571,0.714285714285714,0.285714285714286,9.85714285714286,139.142857142857,0.857142857142857,1019.71428571429,7.14285714285714
2020-03-24,0,14.8571428571429,3.28571428571429,12.2857142857143,4.71428571428571,52.5714285714286,0.428571428571429,0.285714285714286,11.7142857142857,137.714285714286,1.28571428571429,1173.14285714286,7.85714285714286
2020-03-25,0,14.4285714285714,4.57142857142857,12,4.85714285714286,84.5714285714286,0.428571428571429,0.571428571428571,10.5714285714286,137.142857142857,1.57142857142857,1376.57142857143,10.1428571428571
2020-03-26,0,13,6.28571428571429,15.5714285714286,4.85714285714286,122.428571428571,0.428571428571429,0.714285714285714,13.7142857142857,138.857142857143,1.85714285714286,1567,13
2020-03-27,0.142857142857143,14.4285714285714,7.71428571428571,14.8571428571429,5.71428571428571,116.571428571429,1,0.714285714285714,15.4285714285714,138.571428571429,2.28571428571429,1769.85714285714,17
2020-03-28,0.285714285714286,13.4285714285714,8.71428571428571,19.1428571428571,8.14285714285714,152.571428571429,1,0.857142857142857,15.7142857142857,140.857142857143,2.57142857142857,2014.14285714286,19.4285714285714
2020-03-29,0.428571428571429,14.1428571428571,11.5714285714286,24.1428571428571,9.28571428571429,215.571428571429,1.28571428571429,0.714285714285714,18.7142857142857,141.857142857143,2.85714285714286,2223.57142857143,21
