code,prefecture,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09
10,Gunma,6.56,7.33,8.13,9.92,13.39,16.16,21.16,23.32,25.46,26.3,31.49,31.31,25.78,23.3,20.33,18.32,11.64,8.43,5.72,3.4,2.08,2.07,2.14,1.7,1.05,1.18,1.22,1.06,1.6,1.57,1.29,2.4099999999999997,2.8699999999999997,2.23,3.07,3.68,3.77,3.8499999999999996,4.45,5.23,7.18,8.66,9.94,9.950000000000001,10.11,13.84,19.02,21.17,19.62,16.97,9.4,7.619999999999999,5.07,4.13,4.37,4.03,2.9699999999999998,2.3299999999999996,2.22,2.3,3.09,3.7800000000000002,4.37,4.33,5.52,6.18,8.719999999999999,14.88,20.66,21.74,19.89,11.76,8.8,8.51,7.18,6.89,5.02,6.02,4.6,3.4899999999999998,3.55,3.12,1.85,2.2600000000000002,2.8499999999999996,2.3499999999999996,2.9499999999999997,3.06,3.05,2.98,3.42,4.72,7.75,10.209999999999999,10.92,11.350000000000001,10.39,8.629999999999999,10.18,7.88,6.96,5.98
11,Saitama,5.49,4.93,5.57,7.11,9.63,11.97,15.67,17.64,20.88,24.48,27.87,30.07,21.43,20.59,16.3,14.14,9.59,6.57,4.51,2.78,2.03,1.66,1.26,1.21,0.95,0.96,1.11,1.29,1.48,1.7,1.54,3.02,4.42,4.29,5.7700000000000005,6.51,7.02,7.18,7.25,8.870000000000001,9.54,11.98,13.38,14.7,16.36,19.77,22.74,25.73,26.95,24.979999999999997,12.62,9.76,5.29,3.8499999999999996,3.3499999999999996,2.79,2.3099999999999996,1.6400000000000001,1.6700000000000002,2.3099999999999996,2.92,3.8299999999999996,4.2,4.609999999999999,5.92,6.470000000000001,9.26,14.5,19.16,18.29,14.870000000000001,10.729999999999999,8.34,6.85,6.67,6.26,5.8,5,4.13,3.6,3.6,3.11,2.18,2.82,3.46,3.7800000000000002,4.29,4.91,5.07,5.68,6.8,8.6,9.97,12.44,12.52,11.11,9.32,8.26,8.42,7.42,7.859999999999999,6.92
12,Chiba,4.65,4.54,4.74,5.33,7.25,9.54,13.8,17.09,20.43,23.98,29.38,30.17,21.55,21.97,19.16,17.51,11.74,7.53,4.83,3.25,1.62,1.56,1.29,1.17,0.98,1.03,1.32,1.29,1.74,1.4,1.41,3.08,3.9899999999999998,5.21,6.659999999999999,6.46,7.57,7.7700000000000005,9.89,11,13.18,15.360000000000001,18.36,17.919999999999998,17.630000000000003,22.38,25.68,28.68,27.45,23.99,14.43,10.61,6.24,3.75,3.11,2.3499999999999996,2.05,1.6,1.76,2.04,2.3,2.9699999999999998,4.2,4.73,5.48,7.49,11.41,16.03,20.88,21.74,16.51,12.47,8.81,7.72,7.59,7,5.57,5.94,4.74,4.07,3.9899999999999998,3.61,2.77,3.2,4.01,4.470000000000001,4.81,5.56,6.26,7.25,9.17,10.91,12.77,14.870000000000001,15.82,13.65,11.84,7.84,10.05,8.92,8.75,7.75
13,Tokyo,3.94,3.93,4.13,4.69,6.93,8.7,10.67,11.65,13.75,15.82,18.32,19.78,13.13,10.46,9.67,8.22,5.77,3.68,2.24,1.61,0.91,0.83,0.76,0.59,0.61,0.81,1.1,1.13,1.43,1.49,1.41,2.4,3.53,3.96,5.29,5.99,5.85,6.22,6.85,7.58,8.25,9.350000000000001,11.12,11.53,10.370000000000001,10.96,14.53,17.01,16.36,16.04,8.89,7.08,3.62,2.3299999999999996,2.11,1.84,1.46,1.2,1.1700000000000002,1.56,1.8900000000000001,2.3099999999999996,2.58,3.13,3.3899999999999997,3.38,5.659999999999999,8.33,11.27,11.38,9.370000000000001,6.9,5.3,4.659999999999999,4.25,3.7,3.06,3.48,2.74,2.42,2.77,2.3899999999999997,1.48,2.2800000000000002,2.7800000000000002,2.9699999999999998,3.3699999999999997,4.07,4.48,4.7,5.57,7.14,7.56,8.5,9.129999999999999,7.26,5.49,3.63,4.79,4.78,4.8,4.41
14,Kanagawa,3.68,3.18,3.63,4.43,6.87,8.79,10.89,11.88,13.49,15.49,18.08,18.72,13.46,11.61,10.68,8.52,6.33,4.48,2.68,1.89,0.99,0.92,0.63,0.56,0.58,0.66,0.82,0.81,0.95,1,0.99,2.3299999999999996,3.3,3.4299999999999997,4.38,5.03,5.91,6.07,6.3,7.38,8.139999999999999,9.5,12.04,11.7,11.55,15.06,18.1,20.330000000000002,21.43,19.259999999999998,9.850000000000001,8.3,4.26,2.9499999999999997,2.19,1.6700000000000002,1.41,1.1600000000000001,1.24,1.36,1.6,2.01,2.5,2.88,3.11,3.34,6.05,9.57,13.56,14.61,11.01,7.41,6.1,5.33,4.930000000000001,4.45,3.4299999999999997,3.69,3.22,3.06,3.23,2.92,1.77,2.4,3.3099999999999996,3.22,3.71,4.18,4.52,5.04,6.3,7.94,9.129999999999999,10.209999999999999,10.66,9.25,7.619999999999999,5.1499999999999995,5.85,5.73,6.24,5.3
15,Niigata,10.7,10.3,9.81,12.87,22.35,25.51,32.26,36.24,36.1,43.42,42.01,35.44,25.96,22.44,18.73,15.63,11.85,10.75,7.55,6.21,4.54,3.99,3.54,3.56,2.82,2.88,2.37,2.8,3.55,3.5,3.67,4.3,6.109999999999999,4.2700000000000005,4.8,5.49,4.819999999999999,4.14,4.98,6.88,7.88,12.98,18.51,18.71,15.7,21.07,21.84,22.650000000000002,23.53,20.08,9.450000000000001,8.860000000000001,4.76,3.38,3.7,2.69,2.09,2.3,2.16,3.09,4.33,4.6899999999999995,5.4,5.79,6.159999999999999,5.619999999999999,6.6499999999999995,10.08,14.84,18.919999999999998,18.479999999999997,12.639999999999999,11.27,12.93,11.94,11.360000000000001,7.81,7.22,5.55,5.3,5.53,4.75,2.36,3.55,4.37,3.69,3.7,3.51,3.71,3.15,3.1,4.75,5.970000000000001,9.6,11.2,13.639999999999999,11.69,8.91,12.77,12.03,11.55,8.209999999999999
16,Toyama,10.15,13.85,13.79,16.19,20.31,20.58,30.12,32.67,36.44,42.83,43.17,40.15,26.58,24.69,20.85,19.67,16.58,12.67,9.56,7.06,4.71,3.21,2.15,1.35,2.27,1.6,1.6,2.06,4.04,4.29,3.21,4.17,4.13,2.79,3.3499999999999996,4.21,4.9,4.02,3.71,4.58,6.04,7.83,11.629999999999999,11.9,11.41,13.38,16.52,17.27,22.130000000000003,21,11.67,9.83,5.67,4.38,4,3.46,2.69,2.08,2.71,2.65,2.98,3.92,5.42,5.63,6.54,6.56,7.9,11.850000000000001,16.71,16.1,14.44,9.58,7.21,7.1499999999999995,6.85,6,5.08,5.35,5.09,3.96,3.8499999999999996,3.2800000000000002,2.06,2.8699999999999997,3.19,3.29,3.08,3.3699999999999997,2.55,3.2,3.02,5.31,8.02,9.850000000000001,11.77,11.94,10.209999999999999,8.860000000000001,10.11,8.850000000000001,7.46,5.33
17,Ishikawa,9.52,12.17,11.12,13.25,18.9,23.12,30.79,31.08,30.77,34.52,36.44,33.46,25.06,35.44,27.23,18.65,12.65,12.48,8.35,6.46,4.79,2.94,2.29,1.58,1.4,1.65,2.25,2.38,2.94,3.15,3.19,4.9,6.38,5.58,6.98,6.58,6.29,5.85,6.94,9.229999999999999,13.08,19.08,24.130000000000003,24.1,21.06,26.69,25.479999999999997,25.54,25.650000000000002,17.810000000000002,11.81,9.709999999999999,7.42,5.58,4.38,4.38,3.23,2.3099999999999996,2.42,2.98,3.17,3.67,4.52,4.73,5.42,8.44,10.48,14.33,20.91,24.52,21.91,15.48,11.08,10.31,8.67,7.5,5.1899999999999995,5.73,3.3299999999999996,3.38,3.17,3.02,2.21,2.67,3.02,2.65,2.96,3.5,3.6,3.15,3.79,4.75,7.75,11.65,15.77,16.419999999999998,14.15,10.46,11.42,8.98,8.629999999999999,6.21
18,Fukui,3.15,3.51,4.1,4.72,7.08,10.49,12.82,15.77,14.36,18.38,16.82,22.46,19.82,14.54,13.87,10.38,7.59,5.36,3.64,2.9,2.79,0.64,0.74,0.85,0.77,1.05,1.56,1,1.46,1.44,0.59,1.87,2.4899999999999998,3.05,3.1,3.9499999999999997,3.8499999999999996,3.72,4.23,5.1499999999999995,6.9,10.79,10.08,10.38,10.44,12.51,13.719999999999999,12.67,16.23,14.18,8.229999999999999,5.44,3.59,2.9699999999999998,2.3099999999999996,2.1,1.26,1.33,1.59,1.54,1.74,2.05,3.69,2.9,4.33,3.2600000000000002,4.31,7.6899999999999995,11.360000000000001,12.9,14.129999999999999,9.97,6.67,6.44,6.23,5.1,4.38,3.8699999999999997,3.13,2.92,2.92,2.1,1.05,1.31,1.59,1.33,1.3800000000000001,1.72,1.82,2.3299999999999996,2.44,3.51,6.28,10.44,11.97,11.719999999999999,10.56,7.64,7.18,6.1,6.26,4.1499999999999995
19,Yamanashi,5.59,6.78,7.17,9.9,13.07,21.93,25.22,27.34,26.17,30.2,33.39,34.37,28.63,31.46,27.05,23.56,15.54,9.95,7,6.22,3.8,3.2,2.61,1.85,2.32,1.61,3.88,3.49,3.68,2.85,2.34,4.22,5.68,5.78,6.1,5.68,6.44,6.609999999999999,8.05,8.709999999999999,10.54,14.1,14.219999999999999,12.41,12.15,19.59,23.85,24.02,20.24,19.34,10.17,9.12,6.56,5.05,4.63,4.56,4.78,3.3899999999999997,2.7600000000000002,3.9499999999999997,6.39,7.76,9.629999999999999,9.729999999999999,9.1,8.07,12.850000000000001,14.78,17.979999999999997,18.12,16,12.83,9.2,8.54,8.88,7.85,6.83,5.76,4.8,4.2700000000000005,4.24,4.24,1.93,2.98,4.07,4.02,3.54,3.22,2.8299999999999996,3.17,4.1499999999999995,5.95,8.49,14.17,13.49,15.41,9.91,6.2700000000000005,12.59,10.17,10.29,6.95
